"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Status de veiculação","Nível de veiculação",Alcance,Impressões,Frequência,"Configuração de atribuição","Tipo de resultado",Resultados,"Valor usado (BRL)","Custo por resultado",Início,Término,"CPM (custo por 1.000 impressões)","Retorno sobre o investimento em publicidade (ROAS) das compras feitas no site","Valor de conversão das compras diretas no site","Valor de conversão da compra no site","Valor médio de conversão de compra","Valor de conversão de finalizações de compra iniciadas no site","Início dos relatórios","Término dos relatórios"
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 6","[CBO] Imagem - AD 03",not_delivering,ad,342,365,1.06725146,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,65.86,,2026-02-12,Contínuo,180.43835616,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 8","[CBO] Imagem - AD 10",not_delivering,ad,417,520,1.2470024,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,61.78,,2026-02-12,Contínuo,118.80769231,,0,,,,2026-02-13,2026-03-14
"[ABO] Imagem - UK [22.02.26]","[ABO] Imagem CJ 1 - UK","[ABO] IMAGEM AD11",not_delivering,ad,299,335,1.12040134,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,60.68,,2026-02-22,Contínuo,181.13432836,,0,,,,2026-02-13,2026-03-14
fmv_venda_adv_06.03.26,reino_unido_ig,AD01_IMG_2_Get_1,inactive,ad,258,363,1.40697674,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,56.93,,2026-03-06,Contínuo,156.83195592,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 7","[CBO] Imagem - AD 10",not_delivering,ad,342,449,1.3128655,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,52.56,,2026-02-12,Contínuo,117.06013363,,0,,,252.22,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 6","[CBO] Imagem - AD 10",inactive,ad,222,238,1.07207207,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,50.41,,2026-02-12,Contínuo,211.80672269,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas - Imagens [26.02.26] 01","[CBO] Imagens - Conj 1","[CBO] IMAGEM - AD18",inactive,ad,275,322,1.17090909,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,42.96,,2026-02-26,Contínuo,133.41614907,,0,,,,2026-02-13,2026-03-14
"[ABO] Imagem - UK [16.02.26]","[ABO] Imagem CJ 3 — UK (TESTE)","[ABO] Imagem AD10 — LIBRAS (TESTE)",inactive,ad,173,198,1.14450867,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,37.61,,2026-02-19,Contínuo,189.94949495,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 9","[CBO] Imagem - AD 10",not_delivering,ad,225,369,1.64,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia","Compras no site",1,36.63,36.63,2026-02-12,Contínuo,99.26829268,13.17144417,482.47,482.47,482.47,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 2","[CBO] Imagem - AD 10",inactive,ad,157,181,1.15286624,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,34.39,,2026-02-12,Contínuo,190,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 3","[CBO] Imagem - AD 10",not_delivering,ad,148,180,1.21621622,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,24.57,,2026-02-12,Contínuo,136.5,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas - Imagens [26.02.26] 02","[CBO] Imagens - Conj 2","[CBO] IMAGEM - AD24",inactive,ad,130,141,1.08461538,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,19.77,,2026-02-26,Contínuo,140.21276596,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 4","[CBO] Imagem - AD 10",not_delivering,ad,214,268,1.25233645,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,18.77,,2026-02-12,Contínuo,70.03731343,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 9","[CBO] Imagem - AD 09",inactive,ad,108,114,1.05555556,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,17.69,,2026-02-12,Contínuo,155.1754386,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 5","[CBO] Imagem - AD 10",not_delivering,ad,79,84,1.06329114,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,16.4,,2026-02-12,Contínuo,195.23809524,,0,,,,2026-02-13,2026-03-14
fmv_venda_adv_06.03.26,reino_unido_ig,AD03_IMG_3_Premium_Shirt,inactive,ad,21,35,1.66666667,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,14.79,,2026-03-06,Contínuo,422.57142857,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas - Imagens UK [28.02.26]","Conjunto - Vendas teste  UK [28.02.26]","CRIATIVO CR01",inactive,ad,57,82,1.43859649,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,14.58,,2026-02-28,Contínuo,177.80487805,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 1","[CBO] Imagem - AD 10",not_delivering,ad,162,280,1.72839506,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,14.57,,2026-02-12,Contínuo,52.03571429,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas - Imagens [26.02.26] 01","[CBO] Imagens - Conj 1","[CBO] IMAGEM - AD16",inactive,ad,59,72,1.22033898,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,11.9,,2026-02-26,Contínuo,165.27777778,,0,,,,2026-02-13,2026-03-14
"[CBO] Vendas Imagens [12.02.26] — NOVO","[CBO] Imagens - Conj 8","[CBO] Imagem - AD 03",inactive,ad,18,20,1.11111111,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,10.28,,2026-02-12,Contínuo,514,,0,,,,2026-02-13,2026-03-14
